Number of workers,Worker type,Max capacity,Execution time,Total Hours,DPU Hours,Cost
200,G.8X,1600,9 minutes 48 seconds,0.16333333333333333,261.3333333333333,114.98666666666666
200,G.8X,1600,46 minutes 1 second,0.7669444444444445,1227.1111111111113,539.928888888889
1000,G.8X,8000,8 minutes 29 seconds,0.1413888888888889,1131.111111111111,497.68888888888887
1000,G.8X,8000,20 minutes 54 seconds,0.34833333333333333,2786.6666666666665,1226.1333333333332
1000,G.4X,4000,10 minutes 38 seconds,0.17722222222222223,708.8888888888889,311.9111111111111
1000,G.2X,200,24 minutes 59 seconds,0.4163888888888889,83.27777777777779,36.64222222222222
100,G.8X,8000,21 minutes 53 seconds,0.3647222222222222,2917.777777777778,1283.8222222222223
500,G.8X,4000,36 minutes 36 seconds,0.61,2440.0,1073.6
100,G.8X,200,21 minutes 53 seconds,0.3647222222222222,72.94444444444444,32.095555555555556
500,G.8X,4000,12 minutes 6 seconds,0.2016666666666667,806.6666666666667,354.9333333333334
1000,G.8X,8000,1 hour 53 minutes 3 seconds,1.8841666666666665,15073.333333333332,6632.266666666666
1000,G.8X,8000,2 hours 43 minutes 4 seconds,2.717777777777778,21742.222222222226,9566.57777777778
1000,G.8X,8000,3 hours 38 minutes 52 seconds,3.647777777777778,29182.222222222223,12840.177777777779
